age,ratings,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,weather,traffic,vehicle_condition,order_type,vehicle_type,multiple_deliveries,is_festival,city_category,time,city,day,month,year,day_of_week,is_weekend,order_time_hour,order_time_of_day,pickup_time_minutes,distance,distance_type
38.0,4.9,15.561295,73.749478,15.601295,73.789478,cloudy,high,1,drinks,scooter,1.0,no,urban,25,GOA,11,2,2022,Friday,0,13,afternoon,5.0,6.1756362610169315,medium
32.0,3.5,,,,,stormy,jam,1,snack,scooter,0.0,no,urban,35,RANCHI,8,3,2022,Tuesday,0,21,night,10.0,,
32.0,4.6,18.563934,73.915367,18.693935,74.045367,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,30,PUNE,2,4,2022,Saturday,1,22,night,10.0,19.914686965545187,very_long
33.0,4.9,18.55144,73.804855,18.62144,73.874855,sunny,medium,1,snack,motorcycle,1.0,no,metropolitian,22,PUNE,8,3,2022,Tuesday,0,18,evening,15.0,10.724517748046026,long
20.0,4.7,18.593481,73.785901,18.633481,73.825901,windy,high,1,snack,scooter,0.0,no,urban,10,PUNE,3,4,2022,Sunday,1,14,afternoon,10.0,6.127835452844326,medium
20.0,4.8,21.173343,72.792731,21.183343,72.802731,sandstorms,low,2,meal,scooter,1.0,no,metropolitian,19,SUR,30,3,2022,Wednesday,0,11,morning,10.0,1.5203573134022046,short
35.0,5.0,17.451976,78.385883,17.471976,78.405883,sunny,low,2,snack,scooter,1.0,no,urban,11,HYD,1,4,2022,Friday,0,9,morning,10.0,3.0734537599377685,short
26.0,4.9,12.972532,77.608179,12.992532,77.628179,stormy,low,2,buffet,scooter,0.0,no,metropolitian,11,BANG,28,3,2022,Monday,0,8,morning,15.0,3.1051314775458967,short
22.0,4.8,12.972532,77.608179,13.042532,77.678179,fog,low,1,snack,motorcycle,1.0,no,metropolitian,28,BANG,18,3,2022,Friday,0,23,night,10.0,10.86742683448048,long
35.0,4.3,13.064181,80.236442,13.134181,80.306442,cloudy,medium,1,snack,motorcycle,1.0,no,metropolitian,33,CHEN,14,3,2022,Monday,0,17,afternoon,5.0,10.865464603780389,long
37.0,4.7,21.149569,72.772697,21.239569,72.862697,sandstorms,jam,0,snack,motorcycle,3.0,no,metropolitian,52,SUR,4,4,2022,Monday,0,19,evening,5.0,13.682516298592299,long
28.0,4.6,19.091458,72.827808,19.201458,72.937808,stormy,jam,1,snack,scooter,1.0,no,metropolitian,22,MUM,8,3,2022,Tuesday,0,19,evening,15.0,16.826241648658115,very_long
37.0,4.9,22.539129,88.365507,22.559129,88.385507,fog,low,1,snack,scooter,1.0,no,urban,16,KOL,13,2,2022,Sunday,1,10,morning,5.0,3.0272369309754272,short
23.0,4.9,19.221315,72.862381,19.281315,72.922381,sunny,jam,2,drinks,electric_scooter,0.0,no,metropolitian,11,MUM,24,3,2022,Thursday,0,21,night,5.0,9.175193844437826,medium
27.0,4.9,12.970324,77.645748,13.030324,77.705748,windy,medium,1,drinks,scooter,1.0,no,metropolitian,25,BANG,19,3,2022,Saturday,1,19,evening,15.0,9.315069177421892,medium
37.0,4.8,13.064181,80.236442,13.104181,80.276442,cloudy,medium,0,drinks,motorcycle,1.0,no,urban,26,CHEN,9,3,2022,Wednesday,0,16,afternoon,10.0,6.209021101535612,medium
33.0,5.0,21.175975,72.795503,21.185975,72.805503,sunny,high,2,snack,scooter,1.0,no,metropolitian,18,SUR,19,3,2022,Saturday,1,11,morning,10.0,1.5203447277401048,short
31.0,4.9,23.369746,85.33982,23.409746,85.37982,fog,medium,1,snack,motorcycle,1.0,no,metropolitian,16,RANCHI,3,4,2022,Sunday,1,15,afternoon,5.0,6.037225392443855,medium
31.0,4.8,12.914264,77.6784,13.024264,77.7884,stormy,low,2,drinks,scooter,1.0,no,metropolitian,23,BANG,25,3,2022,Friday,0,22,night,10.0,17.078665498349437,very_long
25.0,5.0,,,,,cloudy,low,0,snack,motorcycle,0.0,no,metropolitian,15,AURG,13,2,2022,Sunday,1,22,night,15.0,,
28.0,4.8,11.003681,76.975525,11.083681,77.055525,sandstorms,jam,0,drinks,motorcycle,1.0,no,metropolitian,36,COIMB,4,4,2022,Monday,0,20,evening,10.0,12.464329297636581,long
31.0,4.7,21.173343,72.792731,21.233343,72.852731,cloudy,low,2,snack,motorcycle,0.0,no,metropolitian,16,SUR,26,3,2022,Saturday,1,22,night,15.0,9.121425981981247,medium
24.0,4.7,10.96185,76.971082,11.05185,77.061082,sunny,medium,0,buffet,motorcycle,0.0,no,urban,19,COIMB,10,3,2022,Thursday,0,17,afternoon,5.0,14.02323208308448,long
39.0,4.6,27.165108,78.015053,27.255108,78.105053,sunny,low,1,snack,motorcycle,1.0,no,metropolitian,27,AGR,14,2,2022,Monday,0,22,night,15.0,13.392612276663236,long
39.0,4.2,,,,,fog,jam,2,snack,scooter,1.0,no,semi-urban,49,VAD,2,3,2022,Wednesday,0,20,evening,15.0,,
32.0,4.5,26.88842,75.800689,26.89842,75.810689,windy,low,2,buffet,scooter,0.0,no,,20,JAP,26,3,2022,Saturday,1,9,morning,15.0,1.4899271643865588,short
36.0,4.7,,,,,cloudy,jam,1,snack,motorcycle,1.0,no,metropolitian,30,VAD,13,3,2022,Sunday,1,20,evening,5.0,,
25.0,4.8,26.913987,75.752891,26.993987,75.832891,sandstorms,low,1,drinks,scooter,0.0,no,urban,18,JAP,29,3,2022,Tuesday,0,22,night,10.0,11.916582838288104,long
33.0,4.9,12.3085,76.665808,12.3385,76.695808,sunny,jam,2,drinks,scooter,0.0,no,metropolitian,22,MYS,30,3,2022,Wednesday,0,21,night,5.0,4.663566689152146,short
30.0,4.4,21.183434,72.814492,21.253434,72.884492,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,34,SUR,12,3,2022,Saturday,1,22,night,15.0,10.641157729337541,long
33.0,5.0,19.254567,72.848923,19.364567,72.958923,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,24,MUM,31,3,2022,Thursday,0,23,night,5.0,16.818368923732613,very_long
36.0,4.9,18.55144,73.804855,18.59144,73.844855,fog,medium,2,drinks,scooter,1.0,no,metropolitian,17,PUNE,17,3,2022,Thursday,0,15,afternoon,15.0,6.128551257919138,medium
21.0,4.8,25.449659,81.839744,25.469659,81.859744,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,14,ALH,15,2,2022,Tuesday,0,10,morning,10.0,2.996250036665907,short
39.0,4.9,30.372202,78.077151,30.422202,78.127151,stormy,jam,2,meal,motorcycle,1.0,no,metropolitian,30,DEH,15,2,2022,Tuesday,0,20,evening,5.0,7.342175722857793,medium
23.0,4.8,,,,,stormy,low,1,meal,scooter,1.0,no,metropolitian,15,VAD,7,3,2022,Monday,0,10,morning,10.0,,
35.0,4.8,,,,,fog,medium,2,buffet,scooter,1.0,no,urban,16,VAD,28,3,2022,Monday,0,15,afternoon,10.0,,
39.0,4.6,12.972793,80.249982,13.062793,80.339982,cloudy,jam,1,snack,scooter,1.0,no,metropolitian,36,CHEN,16,3,2022,Wednesday,0,20,evening,5.0,13.972123977178622,long
22.0,4.7,21.157735,72.768778,21.197735,72.808778,sunny,high,1,buffet,scooter,1.0,no,urban,18,SUR,17,3,2022,Thursday,0,12,morning,5.0,6.081440797008078,medium
32.0,4.6,21.186438,72.794115,21.226438,72.834115,fog,medium,1,meal,scooter,0.0,no,metropolitian,17,SUR,15,3,2022,Tuesday,0,15,afternoon,15.0,6.080891507842322,medium
24.0,4.8,,,,,sandstorms,low,1,buffet,motorcycle,1.0,no,urban,15,VAD,25,3,2022,Friday,0,22,night,5.0,,
29.0,4.7,,,,,fog,low,0,buffet,motorcycle,1.0,no,metropolitian,17,MYS,9,3,2022,Wednesday,0,10,morning,10.0,,
26.0,4.7,17.431477,78.40035,17.491477,78.46035,fog,low,1,buffet,motorcycle,0.0,no,metropolitian,10,HYD,5,3,2022,Saturday,1,23,night,-1425.0,9.220373067021216,medium
20.0,4.5,,,,,fog,jam,1,drinks,motorcycle,1.0,no,metropolitian,27,BHP,11,2,2022,Friday,0,21,night,15.0,,
35.0,4.1,13.064181,80.236442,13.154181,80.326442,sandstorms,jam,1,buffet,motorcycle,2.0,no,metropolitian,37,CHEN,12,3,2022,Saturday,1,20,evening,15.0,13.96960642768458,long
39.0,4.6,12.933298,77.614293,13.023298,77.704293,fog,jam,1,drinks,scooter,2.0,no,metropolitian,44,BANG,29,3,2022,Tuesday,0,20,evening,10.0,13.973206773137713,long
34.0,4.7,22.311358,73.164798,22.351358,73.204798,windy,high,2,drinks,electric_scooter,1.0,no,metropolitian,28,VAD,19,3,2022,Saturday,1,12,morning,10.0,6.058853851669116,medium
27.0,4.7,12.934365,77.616155,13.044365,77.726155,cloudy,jam,2,snack,scooter,1.0,no,metropolitian,42,BANG,10,3,2022,Thursday,0,21,night,15.0,17.07799287216204,very_long
30.0,4.8,,,,,windy,low,1,snack,motorcycle,1.0,no,metropolitian,25,DEH,16,2,2022,Wednesday,0,23,night,15.0,,
25.0,4.4,13.086438,80.220672,13.196438,80.330672,cloudy,medium,2,snack,scooter,1.0,no,metropolitian,39,CHEN,27,3,2022,Sunday,1,18,evening,5.0,17.072871906399556,very_long
25.0,4.7,19.254567,72.848923,19.364567,72.958923,stormy,medium,0,meal,motorcycle,0.0,no,urban,20,MUM,27,3,2022,Sunday,1,18,evening,5.0,16.818368923732613,very_long
30.0,5.0,26.913483,75.803139,26.933483,75.823139,stormy,high,1,buffet,motorcycle,1.0,no,metropolitian,31,JAP,24,3,2022,Thursday,0,11,morning,5.0,2.979502850576494,short
24.0,4.6,17.411028,78.329645,17.471028,78.389645,stormy,jam,1,buffet,motorcycle,0.0,no,metropolitian,13,HYD,9,3,2022,Wednesday,0,20,evening,10.0,9.22086597503784,medium
39.0,4.8,18.516216,73.842527,18.566216,73.892527,stormy,jam,1,meal,motorcycle,,no,metropolitian,28,PUNE,3,3,2022,Thursday,0,21,night,15.0,7.661331134220826,medium
25.0,4.8,15.5696,73.742294,15.6096,73.782294,windy,high,1,snack,scooter,1.0,no,urban,19,GOA,15,2,2022,Tuesday,0,12,morning,5.0,6.1755160934059985,medium
37.0,4.6,19.876428,75.364792,19.956428,75.444792,fog,low,0,buffet,motorcycle,2.0,yes,urban,42,AURG,18,2,2022,Friday,0,23,night,15.0,12.209856560906529,long
24.0,5.0,12.939496,77.625999,12.949496,77.635999,fog,low,0,drinks,motorcycle,1.0,no,metropolitian,23,BANG,1,3,2022,Tuesday,0,10,morning,5.0,1.5526813140972442,short
25.0,4.2,17.433809,78.386744,17.543809,78.496744,stormy,jam,0,meal,motorcycle,1.0,no,metropolitian,39,HYD,23,3,2022,Wednesday,0,21,night,15.0,16.902806732498032,very_long
32.0,4.6,23.374878,85.335739,23.384878,85.345739,stormy,low,2,drinks,motorcycle,1.0,no,metropolitian,25,RANCHI,1,4,2022,Friday,0,10,morning,10.0,1.5093577696337532,short
34.0,4.7,,78.057044,27.233303,78.127044,sandstorms,low,1,drinks,scooter,0.0,no,metropolitian,15,AGR,16,2,2022,Wednesday,0,23,night,5.0,,
38.0,4.9,22.74806,75.8934,22.76806,75.9134,cloudy,low,2,drinks,scooter,1.0,no,urban,15,INDO,11,3,2022,Friday,0,8,morning,15.0,3.0251186390184004,short
36.0,4.8,26.891191,75.802083,26.981191,75.892083,sunny,medium,2,buffet,electric_scooter,0.0,no,metropolitian,15,JAP,14,3,2022,Monday,0,17,afternoon,5.0,13.407092693002484,long
25.0,5.0,21.160437,72.774209,21.270437,72.884209,stormy,jam,1,meal,motorcycle,,no,metropolitian,15,SUR,18,3,2022,Friday,0,20,evening,15.0,16.721976048741215,very_long
29.0,5.0,12.316967,76.603067,12.366967,76.653067,sunny,low,0,drinks,motorcycle,0.0,no,metropolitian,18,MYS,1,4,2022,Friday,0,22,night,5.0,7.772343594464245,medium
36.0,4.7,18.927584,72.832585,19.017584,72.922585,sandstorms,low,2,drinks,electric_scooter,0.0,no,metropolitian,29,MUM,4,4,2022,Monday,0,23,night,10.0,13.773737657079298,long
33.0,4.7,11.022298,76.998349,11.072298,77.048349,fog,low,0,snack,motorcycle,0.0,no,metropolitian,20,COIMB,11,3,2022,Friday,0,23,night,5.0,7.790158927084966,medium
36.0,4.4,12.325461,76.632278,12.365461,76.672278,cloudy,high,2,meal,scooter,1.0,no,metropolitian,39,MYS,13,3,2022,Sunday,1,12,morning,15.0,6.217834398578936,medium
21.0,4.8,18.530963,73.828972,18.640963,73.938972,windy,low,0,snack,motorcycle,0.0,no,metropolitian,19,PUNE,4,3,2022,Friday,0,23,night,15.0,16.852834881460105,very_long
25.0,4.8,17.458998,78.500366,17.488998,78.530366,cloudy,low,1,snack,scooter,1.0,no,urban,19,HYD,26,3,2022,Saturday,1,23,night,-1425.0,4.610035602260694,short
23.0,4.8,19.1813,72.836191,19.3113,72.966191,windy,low,0,meal,motorcycle,0.0,no,metropolitian,17,MUM,16,3,2022,Wednesday,0,22,night,10.0,19.879870677373706,very_long
25.0,4.6,11.022477,76.995667,11.032477,77.005667,stormy,low,2,snack,motorcycle,1.0,no,urban,15,COIMB,1,3,2022,Tuesday,0,10,morning,15.0,1.5580833985948437,short
24.0,4.3,22.727021,75.884167,22.747021,75.904167,sandstorms,low,0,meal,motorcycle,0.0,no,urban,19,INDO,15,3,2022,Tuesday,0,8,morning,15.0,3.025332706173566,short
27.0,4.6,12.979166,77.640709,13.069166,77.730709,sandstorms,jam,0,buffet,motorcycle,1.0,no,metropolitian,29,BANG,4,3,2022,Friday,0,21,night,15.0,13.97194896017493,long
23.0,4.8,18.994237,72.825553,19.104237,72.935553,cloudy,low,2,snack,scooter,1.0,no,urban,22,MUM,18,3,2022,Friday,0,22,night,5.0,16.830905551931956,very_long
21.0,4.3,12.284747,76.625861,12.414747,76.755861,fog,jam,1,drinks,scooter,0.0,no,metropolitian,42,MYS,23,3,2022,Wednesday,0,20,evening,10.0,20.207797933358158,very_long
27.0,4.7,21.175975,72.795503,21.195975,72.815503,sandstorms,low,2,snack,scooter,0.0,no,urban,12,SUR,15,3,2022,Tuesday,0,10,morning,15.0,3.040641621538495,short
32.0,4.2,11.000762,76.981876,11.130762,77.111876,cloudy,jam,1,snack,motorcycle,1.0,no,metropolitian,38,COIMB,8,3,2022,Tuesday,0,20,evening,10.0,20.253785359470783,very_long
25.0,4.6,21.173343,72.792731,21.283343,72.902731,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,23,SUR,10,3,2022,Thursday,0,23,night,15.0,16.72129600980331,very_long
39.0,4.7,26.479108,80.315042,26.499108,80.335042,cloudy,low,1,meal,scooter,0.0,no,metropolitian,15,KNP,11,2,2022,Friday,0,10,morning,15.0,2.9845507897866907,short
27.0,4.6,21.175104,72.804342,21.255104,72.884342,sunny,low,0,snack,motorcycle,1.0,no,metropolitian,24,SUR,14,3,2022,Monday,0,23,night,5.0,12.16145053143676,long
39.0,3.8,19.176269,72.836721,19.286269,72.946721,windy,jam,1,drinks,motorcycle,0.0,no,metropolitian,37,MUM,16,3,2022,Wednesday,0,19,evening,5.0,16.822155609317257,very_long
31.0,4.8,12.975377,77.696664,13.025377,77.746664,sandstorms,low,1,snack,scooter,0.0,no,metropolitian,24,BANG,1,3,2022,Tuesday,0,22,night,10.0,7.762556904358444,medium
31.0,4.8,23.359194,85.325447,23.419194,85.385447,sunny,low,2,buffet,electric_scooter,0.0,no,metropolitian,13,RANCHI,1,3,2022,Tuesday,0,23,night,5.0,9.055855161965923,medium
20.0,4.8,12.297954,76.665169,12.307954,76.675169,cloudy,low,0,drinks,motorcycle,0.0,no,,16,MYS,30,3,2022,Wednesday,0,9,morning,15.0,1.5545816630911855,short
36.0,4.9,23.359407,85.325055,23.439407,85.405055,cloudy,medium,0,drinks,motorcycle,1.0,no,urban,42,RANCHI,2,3,2022,Wednesday,0,18,evening,10.0,12.074047498027575,long
20.0,4.9,23.416792,85.316842,23.506792,85.406842,sandstorms,low,0,meal,motorcycle,1.0,no,metropolitian,17,RANCHI,20,3,2022,Sunday,1,22,night,10.0,13.580373876280879,long
24.0,4.6,26.892312,75.806896,26.922313,75.836896,cloudy,jam,0,drinks,motorcycle,0.0,no,metropolitian,25,JAP,3,4,2022,Sunday,1,20,evening,15.0,4.469620875558295,short
39.0,4.2,22.761593,75.886362,22.871593,75.996362,fog,medium,1,snack,scooter,0.0,no,metropolitian,39,INDO,29,3,2022,Tuesday,0,18,evening,5.0,16.634870118211836,very_long
37.0,4.8,11.026117,76.944652,11.066117,76.984652,sunny,high,2,meal,scooter,0.0,no,metropolitian,18,COIMB,17,3,2022,Thursday,0,14,afternoon,10.0,6.232139486668102,medium
32.0,4.9,13.064181,80.236442,13.104181,80.276442,sandstorms,medium,2,drinks,motorcycle,1.0,no,metropolitian,28,CHEN,17,3,2022,Thursday,0,16,afternoon,10.0,6.209021101535612,medium
22.0,4.5,26.483042,80.317833,26.533042,80.367833,sandstorms,low,1,drinks,scooter,1.0,no,metropolitian,18,KNP,15,2,2022,Tuesday,0,22,night,15.0,7.460830127736633,medium
23.0,4.9,11.000762,76.981876,11.130762,77.111876,windy,low,1,meal,scooter,0.0,no,metropolitian,18,COIMB,18,3,2022,Friday,0,0,,15.0,20.253785359470783,very_long
33.0,4.7,23.359033,85.325347,23.469033,85.435347,fog,jam,1,snack,scooter,1.0,no,metropolitian,49,RANCHI,8,3,2022,Tuesday,0,21,night,10.0,16.600975700594585,very_long
27.0,4.6,12.914264,77.6784,12.994264,77.7584,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,21,BANG,31,3,2022,Thursday,0,23,night,5.0,12.421212735966003,long
34.0,4.7,19.121999,72.908493,19.161999,72.948493,sunny,high,2,snack,scooter,0.0,no,metropolitian,23,MUM,1,3,2022,Tuesday,0,14,afternoon,15.0,6.1187118466897275,medium
26.0,5.0,21.157729,72.768726,21.167729,72.778726,fog,low,2,meal,scooter,1.0,no,urban,11,SUR,3,4,2022,Sunday,1,10,morning,10.0,1.520431947999248,short
31.0,4.6,22.311603,73.165012,22.371603,73.225012,cloudy,jam,0,snack,motorcycle,0.0,no,metropolitian,25,VAD,24,3,2022,Thursday,0,21,night,15.0,9.087972744661085,medium
32.0,4.9,18.536562,73.896485,18.556562,73.916485,fog,low,2,snack,motorcycle,0.0,no,metropolitian,18,PUNE,7,3,2022,Monday,0,8,morning,5.0,3.0644871057616707,short
27.0,4.7,22.745536,75.893106,22.765536,75.913106,cloudy,low,1,buffet,motorcycle,0.0,no,metropolitian,14,INDO,9,3,2022,Wednesday,0,9,morning,5.0,3.025144329113595,short
21.0,4.9,12.933298,77.614293,13.023298,77.704293,windy,medium,0,drinks,motorcycle,2.0,no,metropolitian,36,BANG,12,3,2022,Saturday,1,17,afternoon,15.0,13.973206773137713,long
28.0,4.8,12.939496,77.625999,12.989496,77.675999,fog,low,1,drinks,motorcycle,,no,metropolitian,18,BANG,24,3,2022,Thursday,0,23,night,5.0,7.763102784727143,medium
24.0,4.9,,,,,fog,medium,1,meal,scooter,1.0,no,urban,17,VAD,30,3,2022,Wednesday,0,16,afternoon,15.0,,
33.0,4.4,17.426228,78.407495,17.436228,78.417495,sandstorms,low,0,snack,motorcycle,1.0,no,metropolitian,28,HYD,5,3,2022,Saturday,1,8,morning,10.0,1.5368503798521727,short
20.0,4.6,12.934365,77.616155,13.024365,77.706155,fog,jam,0,buffet,motorcycle,0.0,yes,metropolitian,44,BANG,18,3,2022,Friday,0,20,evening,15.0,13.97317756157655,long
31.0,4.3,11.003669,76.976494,11.063669,77.036494,windy,low,0,snack,motorcycle,1.0,no,metropolitian,20,COIMB,13,3,2022,Sunday,1,23,night,15.0,9.348403522662325,medium
36.0,5.0,22.311358,73.164798,22.381358,73.234798,fog,jam,1,snack,motorcycle,1.0,no,metropolitian,35,VAD,31,3,2022,Thursday,0,19,evening,10.0,10.602467987619507,long
31.0,4.2,12.986047,80.218114,13.096047,80.328114,sandstorms,jam,0,meal,motorcycle,1.0,no,metropolitian,50,CHEN,23,3,2022,Wednesday,0,21,night,10.0,17.076258901183188,very_long
39.0,4.1,17.41233,78.449654,17.47233,78.509654,stormy,jam,1,meal,scooter,1.0,no,metropolitian,34,HYD,24,3,2022,Thursday,0,21,night,5.0,9.22083460710881,medium
29.0,4.6,21.17106,72.789292,21.25106,72.869292,sunny,jam,2,meal,electric_scooter,,no,metropolitian,17,SUR,12,3,2022,Saturday,1,19,evening,15.0,12.161605446010208,long
29.0,4.6,21.186884,72.793616,21.226884,72.833616,sandstorms,high,1,snack,scooter,0.0,no,urban,23,SUR,3,3,2022,Thursday,0,14,afternoon,10.0,6.080882967594328,medium
37.0,4.9,11.026117,76.944652,11.056117,76.974652,fog,medium,0,buffet,motorcycle,1.0,no,metropolitian,27,COIMB,9,3,2022,Wednesday,0,18,evening,10.0,4.67414369897644,short
33.0,4.7,,,,,cloudy,high,0,snack,motorcycle,0.0,no,urban,26,VAD,17,3,2022,Thursday,0,12,morning,10.0,,
31.0,3.9,19.065838,72.832658,19.135838,72.902658,cloudy,low,1,buffet,scooter,1.0,no,metropolitian,35,MUM,18,3,2022,Friday,0,23,night,10.0,10.709003371535417,long
37.0,4.6,,,,,windy,high,0,drinks,motorcycle,1.0,no,urban,41,VAD,19,3,2022,Saturday,1,12,morning,5.0,,
